epoch,timestamp,algorithm,vm_count,active_pm,energy_wh,sla_violations,sla_rate,avg_cpu,peak_cpu,migrations
1,1378604100,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
2,1378604400,Adaptive_HO,5,1,1424.7497,0,0.0000,0.0021,0.0021,5
3,1378604700,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
4,1378605000,Adaptive_HO,5,1,1424.7675,0,0.0000,0.0022,0.0022,5
5,1378605300,Adaptive_HO,5,1,1424.7467,0,0.0000,0.0021,0.0021,0
6,1378605600,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
7,1378605900,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,0
8,1378606200,Adaptive_HO,5,1,1424.7452,0,0.0000,0.0021,0.0021,5
9,1378606500,Adaptive_HO,5,1,1424.7304,0,0.0000,0.0020,0.0020,5
10,1378606800,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
11,1378607100,Adaptive_HO,5,1,1424.7467,0,0.0000,0.0021,0.0021,5
12,1378607400,Adaptive_HO,5,1,1424.7319,0,0.0000,0.0020,0.0020,5
13,1378607700,Adaptive_HO,5,1,1424.7349,0,0.0000,0.0020,0.0020,5
14,1378608000,Adaptive_HO,5,1,1424.7512,0,0.0000,0.0021,0.0021,5
15,1378608300,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
16,1378608600,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
17,1378608900,Adaptive_HO,5,1,1424.7438,0,0.0000,0.0021,0.0021,5
18,1378609200,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
19,1378609500,Adaptive_HO,5,1,1424.7349,0,0.0000,0.0020,0.0020,0
20,1378609800,Adaptive_HO,5,1,1424.7527,0,0.0000,0.0022,0.0022,5
21,1378610100,Adaptive_HO,5,1,1424.7378,0,0.0000,0.0021,0.0021,5
22,1378610400,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
23,1378610700,Adaptive_HO,5,1,1424.7452,0,0.0000,0.0021,0.0021,5
24,1378611000,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
25,1378611300,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
26,1378611600,Adaptive_HO,5,1,1424.7497,0,0.0000,0.0021,0.0021,0
27,1378611900,Adaptive_HO,5,1,1424.7349,0,0.0000,0.0020,0.0020,5
28,1378612200,Adaptive_HO,5,1,1424.7349,0,0.0000,0.0020,0.0020,0
29,1378612500,Adaptive_HO,5,1,1424.7467,0,0.0000,0.0021,0.0021,5
30,1378612800,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
31,1378613100,Adaptive_HO,5,1,1424.7334,0,0.0000,0.0020,0.0020,5
32,1378613400,Adaptive_HO,5,1,1424.7482,0,0.0000,0.0021,0.0021,0
33,1378613700,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,5
34,1378614000,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
35,1378614300,Adaptive_HO,7,2,1424.9835,0,0.0000,0.0022,0.0029,6
36,1378614600,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,2
37,1378614900,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,2
38,1378615200,Adaptive_HO,7,2,1424.9953,0,0.0000,0.0023,0.0029,7
39,1378615500,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,3
40,1378615800,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
41,1378616100,Adaptive_HO,7,2,1424.9864,0,0.0000,0.0023,0.0029,7
42,1378616400,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
43,1378616700,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
44,1378617000,Adaptive_HO,7,2,1424.9924,0,0.0000,0.0023,0.0029,2
45,1378617300,Adaptive_HO,7,2,1424.9687,0,0.0000,0.0022,0.0028,7
46,1378617600,Adaptive_HO,7,2,1424.9509,0,0.0000,0.0021,0.0027,3
47,1378617900,Adaptive_HO,7,2,1424.9864,0,0.0000,0.0023,0.0029,7
48,1378618200,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
49,1378618500,Adaptive_HO,7,2,1424.9627,0,0.0000,0.0022,0.0027,2
50,1378618800,Adaptive_HO,7,2,1424.9924,0,0.0000,0.0023,0.0029,7
51,1378619100,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,4
52,1378619400,Adaptive_HO,7,2,1424.9627,0,0.0000,0.0022,0.0027,7
53,1378619700,Adaptive_HO,7,2,1424.9864,0,0.0000,0.0023,0.0029,7
54,1378620000,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,2
55,1378620300,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
56,1378620600,Adaptive_HO,7,2,1424.9953,0,0.0000,0.0023,0.0029,5
57,1378620900,Adaptive_HO,7,2,1424.9776,0,0.0000,0.0022,0.0028,2
58,1378621200,Adaptive_HO,7,2,1424.9627,0,0.0000,0.0022,0.0027,7
59,1378621500,Adaptive_HO,7,2,1424.9864,0,0.0000,0.0023,0.0029,5
60,1378621800,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,5
61,1378622100,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
62,1378622400,Adaptive_HO,7,2,1424.9924,0,0.0000,0.0023,0.0029,2
63,1378622700,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,3
64,1378623000,Adaptive_HO,7,2,1424.9627,0,0.0000,0.0022,0.0027,2
65,1378623300,Adaptive_HO,7,2,1424.9835,0,0.0000,0.0022,0.0029,7
66,1378623600,Adaptive_HO,7,2,1424.9538,0,0.0000,0.0022,0.0027,7
67,1378623900,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
68,1378624200,Adaptive_HO,7,2,1424.9924,0,0.0000,0.0023,0.0029,7
69,1378624500,Adaptive_HO,7,2,1424.9657,0,0.0000,0.0022,0.0028,5
70,1378624800,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,5
71,1378625100,Adaptive_HO,7,2,1424.9805,0,0.0000,0.0022,0.0028,7
72,1378625400,Adaptive_HO,7,2,1424.9627,0,0.0000,0.0022,0.0027,7
73,1378625700,Adaptive_HO,7,2,1424.9627,0,0.0000,0.0022,0.0027,7
74,1378626000,Adaptive_HO,7,2,1424.9953,0,0.0000,0.0023,0.0029,2
75,1378626300,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,2
76,1378626600,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,5
77,1378626900,Adaptive_HO,7,2,1424.9864,0,0.0000,0.0023,0.0029,5
78,1378627200,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
79,1378627500,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,0
80,1378627800,Adaptive_HO,7,2,1424.9835,0,0.0000,0.0022,0.0029,2
81,1378628100,Adaptive_HO,7,2,1424.9687,0,0.0000,0.0022,0.0028,3
82,1378628400,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,3
83,1378628700,Adaptive_HO,7,2,1424.9835,0,0.0000,0.0022,0.0029,2
84,1378629000,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,2
85,1378629300,Adaptive_HO,7,2,1424.9509,0,0.0000,0.0021,0.0027,7
86,1378629600,Adaptive_HO,7,2,1424.9864,0,0.0000,0.0023,0.0029,0
87,1378629900,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,0
88,1378630200,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,2
89,1378630500,Adaptive_HO,7,2,1424.9864,0,0.0000,0.0023,0.0029,7
90,1378630800,Adaptive_HO,7,2,1424.9568,0,0.0000,0.0022,0.0027,7
91,1378631100,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
92,1378631400,Adaptive_HO,7,2,1424.9835,0,0.0000,0.0022,0.0029,0
93,1378631700,Adaptive_HO,7,2,1424.9627,0,0.0000,0.0022,0.0027,7
94,1378632000,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
95,1378632300,Adaptive_HO,7,2,1424.9835,0,0.0000,0.0022,0.0029,7
96,1378632600,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
97,1378632900,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,0
98,1378633200,Adaptive_HO,7,2,1424.9864,0,0.0000,0.0023,0.0029,7
99,1378633500,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,3
100,1378633800,Adaptive_HO,7,2,1424.9598,0,0.0000,0.0022,0.0027,7
101,1378634100,Adaptive_HO,7,2,1424.9835,0,0.0000,0.0022,0.0029,7
102,1378634400,Adaptive_HO,7,2,1424.9861,0,0.0000,0.0027,0.0033,7
103,1378634700,Adaptive_HO,7,2,1424.9364,0,0.0000,0.0016,0.0026,7
